Unnamed: 0,director,metacritic,n_votes,paper_name,rating,screenplay,source,stars
1.0,,,"1,029,405",Star Wars: Episode IV - A New Hope (1977),8.7,,http://www.imdb.com/title/tt0346578/usercomments,
1.0,,,"1,380,046",The Lord of the Rings: The Fellowship of the Ring (2001),8.8,,http://www.imdb.com/title/tt0321359/usercomments,
1.0,,,"327,656",The Princess Bride (1987),8.1,,http://www.imdb.com/title/tt0328107/usercomments,
1.0,,,"1,368,840",The Matrix (1999),8.7,,http://www.imdb.com/title/tt0121556/usercomments,
1.0,,,"1,903,761",The Shawshank Redemption (1994),9.3,,http://www.imdb.com/title/tt0120623/usercomments,
1.0,,,"605,383",The Big Lebowski (1998),8.2,,http://www.imdb.com/title/tt0108288/usercomments,
1.0,,,"323,518",The Wizard of Oz (1939),8.1,,http://www.imdb.com/title/tt0119906/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0008458/usercomments,
1.0,"
Michel Gondry            ",89.0,"752,069",Eternal Sunshine of the Spotless Mind (2004),8.3,"
        Writers:
            
Charlie Kaufman (story),             
            
Michel Gondry (story)            
            |
2 more credits »
    ",http://www.imdb.com/title/tt0064597/usercomments,"
        Stars:
            
Jim Carrey,             
            
Kate Winslet,             
            
Tom Wilkinson            
            |
See full cast & crew »
    "
1.0,"
Andrew Davis            ",88.0,"230,615",The Fugitive (1993),7.8,"
        Writers:
            
Jeb Stuart (screenplay),             
            
David Twohy (screenplay)            
            |
2 more credits »
    ",http://www.imdb.com/title/tt0081505/usercomments,"
        Stars:
            
Harrison Ford,             
            
Tommy Lee Jones,             
            
Sela Ward            
            |
See full cast & crew »
    "
1.0,"
Jim Abrahams,             ",78.0,"177,280",Airplane! (1980),7.8,"
        Writers:
            
Jim Abrahams (written for the screen by),             
            
David Zucker (written for the screen by)            
            |
1 more credit »
    ",http://www.imdb.com/title/tt0321018/usercomments,"
        Stars:
            
Robert Hays,             
            
Julie Hagerty,             
            
Leslie Nielsen            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0031038/usercomments,
1.0,"
James Frawley            ",74.0,"27,579",The Muppet Movie (1979),7.6,"
        Writers:
            
Jack Burns,             
            
Jerry Juhl            
    ",http://www.imdb.com/title/tt0871197/usercomments,"
        Stars:
            
Jim Henson,             
            
Frank Oz,             
            
Jerry Nelson            
            |
See full cast & crew »
    "
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0855852/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0115387/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0274708/usercomments,
1.0,"
Harold Ramis            ",72.0,"494,837",Groundhog Day (1993),8.0,"
        Writers:
            
Danny Rubin (screenplay),             
            
Harold Ramis (screenplay)            
            |
1 more credit »
    ",http://www.imdb.com/title/tt0072353/usercomments,"
        Stars:
            
Bill Murray,             
            
Andie MacDowell,             
            
Chris Elliott            
            |
See full cast & crew »
    "
1.0,"
Stuart Rosenberg            ",91.0,"133,268",Cool Hand Luke (1967),8.2,"
        Writers:
            
Donn Pearce (screenplay),             
            
Frank Pierson (screenplay) (as Frank R. Pierson)            
            |
1 more credit »
    ",http://www.imdb.com/title/tt0116191/usercomments,"
        Stars:
            
Paul Newman,             
            
George Kennedy,             
            
Strother Martin            
            |
See full cast & crew »
    "
1.0,,,"1,525,367",Fight Club (1999),8.8,,http://www.imdb.com/title/tt0028358/usercomments,
1.0,"
Mike Judge            ",68.0,"215,350",Office Space (1999),7.8,"
        Writers:
            
Mike Judge (Milton animated shorts),             
            
Mike Judge (screenplay)            
    ",http://www.imdb.com/title/tt0149151/usercomments,"
        Stars:
            
Ron Livingston,             
            
Jennifer Aniston,             
            
David Herman            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0284978/usercomments,
1.0,,,"1,488,570",Pulp Fiction (1994),8.9,,http://www.imdb.com/title/tt0101829/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0064665/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0108171/usercomments,
1.0,,,"1,160,919",Se7en (1995),8.6,,http://www.imdb.com/title/tt0037514/usercomments,
1.0,,,"837,336",Back to the Future (1985),8.5,,http://www.imdb.com/title/tt0116619/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0076299/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0440963/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0072886/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0109287/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0104115/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0087755/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0087806/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0118144/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0071507/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0346293/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0092067/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0554587/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0258960/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0025586/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0295289/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0094466/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0112681/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0158591/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0295456/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0087258/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0051406/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0101811/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0071075/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0198668/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0043809/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0063094/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0117995/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0071864/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0095177/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0499603/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0126604/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0210794/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0215174/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0405422/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0062639/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0042042/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0258979/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0063237/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0044166/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0106582/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0479519/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0386866/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0363018/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0031999/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0093565/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0293939/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0105249/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0425671/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0050928/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0043599/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0995029/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0086250/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0255319/usercomments,
1.0,"
                   759 user                   
                       |
                   116 critic
             ",,"424,372",Lost,8.4,,http://www.imdb.com/title/tt0175877/usercomments,
1.0,"
Danny Leiner            ",30.0,"123,271","Dude, Where's My Car? (2000)",5.5,"
        Writer:
            
Philip Stark            
    ",http://www.imdb.com/title/tt0052504/usercomments,"
        Stars:
            
Ashton Kutcher,             
            
Seann William Scott,             
            
Jennifer Garner            
            |
See full cast & crew »
    "
